Company,Industry,Sub-Vertical,Country,Size,Revenue,Decision Maker,Decision Maker Title,Deal Size,Priority,Fit Score,Website,Pain Points,Notes,Use Case,Current Competitor,Budget Cycle
Microsoft,Technology,Software/Cloud,US,50K+ employees,$3T+,CVP Azure/M365,Corporate Vice President,ACQUISITION,critical,98,microsoft.com,ACQUISITION TARGET; Azure integration; Enterprise contracts,"Integrate SSIP into Azure, M365, Dynamics - strategic acquisition potential",Platform integration across entire Microsoft ecosystem,DocuSign (limited capability),Q1 M&A review
Amazon Web Services,Technology,Cloud Services,US,50K+ employees,$500B+,VP of Blockchain/Web3,Vice President,ACQUISITION,critical,98,aws.amazon.com,ACQUISITION TARGET; AWS Blockchain integration; Smart contracts,"AWS Blockchain, QLDB integration potential - massive strategic value",AWS Blockchain as a Service with built-in SSIP verification,Internal blockchain teams,Continuous M&A pipeline
ServiceNow,Technology,Workflow Software,US,10K-50K employees,$150B+,Chief Product Officer,CPO,ACQUISITION,critical,97,servicenow.com,ACQUISITION TARGET; Contract module; Workflow integration,Perfect strategic fit - SSIP enhances their platform,Contract management module for ServiceNow platform,Custom contract workflows,Annual product roadmap (Jan)
Adobe,Technology,Document Management,US,10K-50K employees,$250B+,EVP Digital Experience,Executive Vice President,ACQUISITION,critical,95,adobe.com,ACQUISITION TARGET; Complement Adobe Sign; Document Cloud enhancement,SSIP adds cryptographic verification layer to Adobe ecosystem,Enhanced Adobe Sign with blockchain verification,Adobe Sign (internal),Q4 M&A strategy
Kaiser Permanente,Healthcare,Hospital System,US,50K+ employees,$100B+,CTO / VP of Digital Transformation,Chief Technology Officer,$500K-$1M,critical,95,kp.org,Contract compliance; Patient data integrity; Vendor management; Audit trails,"8.7M members, massive contract volume, regulatory compliance needs","Vendor contract verification, patient consent management",Manual processes + SharePoint,Fiscal year (July)
JPMorgan Chase,Financial Services,Investment Banking,US,50K+ employees,$500B+,Head of Technology Innovation,Managing Director,$1M-$2M,critical,95,jpmorganchase.com,Trade contracts; Derivative agreements; Compliance; Thousands of daily contracts,"Massive contract volume across investment banking, trading, wealth management","Trade contract verification, derivative agreement integrity",Internal blockchain team (Onyx),Annual tech budget (Jan)
Stripe,Financial Services,Payment Processing,US,1K-10K employees,$50B valuation,Head of Platform,VP of Platform Engineering,$200K-$400K,critical,95,stripe.com,Merchant agreements; Platform partner contracts; Developer-first culture,API-first company - SSIP API integration would be seamless,"Merchant agreement verification via API, platform contract automation",Internal contract tools,Continuous product investment
UnitedHealth Group,Healthcare,Health Insurance,US,50K+ employees,$350B+,CIO Optum,,$1M-$2M,critical,94,unitedhealthgroup.com,Provider contracts; Claims processing; Medicare/Medicaid compliance,OptumHealth handles 150M+ people - huge contract volume,"Provider network contract verification, claims audit trails",,
BlackRock,Financial Services,Asset Management,US,10K-50K employees,$10T AUM,Head of Aladdin Platform,,$800K-$1.5M,critical,94,blackrock.com,Fund agreements; Counterparty contracts; Custody agreements,$10T AUM - Aladdin platform could integrate SSIP,"Fund contract verification, counterparty agreement integrity",,
CVS Health,Healthcare,Pharmacy/Insurance,US,50K+ employees,$300B+,SVP of Digital Innovation,,$500K-$1M,critical,93,cvshealth.com,Pharmacy contracts; Insurance claims; Provider agreements; PBM contracts,Aetna integration needs contract verification at scale,"PBM contract integrity, claims verification",,Calendar year (Jan)
Pfizer,Healthcare,Pharmaceutical,US,50K+ employees,$100B+,Chief Digital Officer,,$500K-$1M,critical,93,pfizer.com,R&D partnerships; Manufacturing contracts; Distribution agreements,COVID vaccine distribution taught them contract velocity matters,"Partnership agreement verification, supply chain contracts",,
Goldman Sachs,Financial Services,Investment Banking,US,10K-50K employees,$60B+,CTO,,$1M-$2M,critical,93,goldmansachs.com,ISDA agreements; Trade confirmations; Regulatory reporting,Digital assets division exploring blockchain - perfect timing,"ISDA master agreement verification, swap confirmations",,
Johnson & Johnson,Healthcare,Pharmaceutical,US,50K+ employees,$95B+,VP of Supply Chain,,$500K-$1M,critical,92,jnj.com,Global supplier contracts; Clinical trial agreements; IP licensing,Operates in 60 countries - multi-jurisdiction contract compliance,"Supplier contract verification, clinical trial integrity",,
Anthem (Elevance Health),Healthcare,Health Insurance,US,50K+ employees,$150B+,SVP of IT,,$500K-$1M,critical,92,elevancehealth.com,Provider network contracts; Claims adjudication; Regulatory compliance,,Provider contract verification at scale,,
Morgan Stanley,Financial Services,Investment Banking,US,50K+ employees,$60B+,Head of Digital Assets,,$800K-$1.5M,critical,92,morganstanley.com,Wealth management contracts; Trade agreements; Custody agreements,,"Wealth client contract verification, trade settlement",,
Fidelity Investments,Financial Services,Asset Management,US,50K+ employees,$4.5T AUM,President of Fidelity Digital Assets,,$600K-$1M,critical,92,fidelity.com,Crypto custody; Traditional custody; Client agreements,Fidelity Digital Assets division = blockchain-native opportunity,"Digital asset custody agreements, client contract verification",,
Mayo Clinic,Healthcare,Academic Medical Center,US,10K-50K employees,$15B+,Chief Digital Officer,,$300K-$500K,high,92,mayoclinic.org,Research contracts; Clinical trial agreements; Patient consent,Leading research institution with complex IP and partnership contracts,"Clinical trial contract management, research IP verification",,
Epic Systems,Healthcare,Health IT/EHR,US,10K-50K employees,$4B+,VP of Product,,$300K-$500K,high,92,epic.com,Hospital contracts; Implementation agreements; HIPAA compliance,EHR market leader - could white-label SSIP to customers,Contract module for Epic EHR platform,,Product planning (March)
HCA Healthcare,Healthcare,Hospital Chain,US,50K+ employees,$60B+,VP of IT Strategy,,$500K-$1M,critical,91,hcahealthcare.com,"186 hospitals, 2,000+ sites - vendor contract chaos",Largest for-profit hospital chain - standardization opportunity,Multi-site vendor contract management,,
Bank of America,Financial Services,Commercial Banking,US,50K+ employees,$100B+,CTO Enterprise Technology,,$1M-$2M,critical,91,bankofamerica.com,Loan agreements; Corporate contracts; Treasury agreements,67M consumer + 3M business clients = massive contract volume,"Loan contract verification, corporate banking agreements",,
