### mythara_master_summary.csv

```csv
artifact_id,artifact_name,manifest_ref,version,sha256_hash,size_bytes,owner,status,notes
ART-0001,RELEASE_MANIFEST.json,ME-archive-0001,20251030,sha256:manifest_checksums_hash_placeholder,2048,Ops,verified,"Includes checksums.sha256 and detached signature"
ART-0002,checksums.sha256,ME-archive-0001,20251030,sha256:checksums_hash_placeholder,8192,Ops,verified,"Signed with signer_public_key.asc"
ART-0003,signer_public_key.asc,ME-archive-0001,20251030,sha256:signer_key_hash_placeholder,1789,Security,verified,"Public key for manifest signature verification"
ART-0004,core/renderer.py,ME-archive-0001,1.7.3,sha256:renderer_v1.7.3_hash,124567,Engineering,verified,"Deterministic formatting patch applied"
ART-0005,perception_prompt_v1,ME-archive-0001,1.0,sha256:perceptionprompthash_v1,2048,ML,verified,"Perception scoring and safety prompt"
ART-0006,renderer_prompt_v1,ME-archive-0001,1.0,sha256:prompthash_v1,2048,ML,verified,"Renderer prompt template and rules"
ART-0007,determinism_test_prompt,ME-archive-0001,1.0,sha256:detprompthash_v1,1024,QA,verified,"Determinism harness scaffold"
ART-0008,leakage_probe_prompt,ME-archive-0001,1.0,sha256:leakageprompthash_v1,4096,Security,verified,"Leakage probe set"
ART-0009,accessibility_prompt,ME-archive-0001,1.0,sha256:accessprompthash_v1,1024,Accessibility,verified,"Braille/audio token generation prompt"
ART-0010,fallback_clause_catalog.json,ME-archive-0001,20251030,sha256:fallback_catalog_hash_placeholder,34567,Policy,verified,"Versioned fallback clauses; signed manifest reference"
ART-0011,clause_drift_log.csv,ME-archive-0001,20251030,sha256:clause_drift_log_hash,6789,QA,verified,"Recorded drift events and remediation actions"
ART-0012,audit_chain/ (slice),ME-archive-0001,20251030,sha256:audit_chain_slice_hash,987654,Security,verified,"Append-only audit records (slice) with AC-9832 and AC-9832-R"
ART-0013,shadow_resolver_report.txt,ME-archive-0001,20251030,sha256:shadow_report_hash,16384,Security,verified,"Design, tests, incidents, and action items"
ART-0014,escrow_verification_bundle.tar.gz,ME-archive-0001,20251030,sha256:escrow_bundle_hash_placeholder,12500000,Ops,verified,"Verification artifacts and verifier signature (ops-verify-001)"
ART-0015,reproducibility_report.txt,ME-archive-0001,20251030,sha256:repro_report_hash,4096,Ops,verified,"Reproducibility run results and deviations"
ART-0016,leakage_probe_log.csv,ME-archive-0001,20251030,sha256:leakage_log_hash,12345,Security,verified,"20,000 probe results; no high-severity leaks"
ART-0017,sanitizer_events.csv,ME-archive-0001,20251030,sha256:sanitizer_events_hash,6789,Security,verified,"Sanitizer triggers and rule ids"
ART-0018,determinism_results/,ME-archive-0001,20251030,sha256:det_results_hash,234567,QA,verified,"Determinism suite outputs and pairwise similarity metrics"
ART-0019,explainability_samples.json,ME-archive-0001,20251030,sha256:explain_samples_hash,4567,ML,verified,"Samples for rater evaluation"
ART-0020,README_ESCROW.md,ME-archive-0001,20251030,sha256:readme_escrow_hash,2048,Ops,verified,"Escrow reproduction instructions and notes"
ART-0021,verification_report.txt,ME-archive-0001,20251030,sha256:verification_report_hash,8192,Security,verified,"Audit and signature verification artifacts"
ART-0022,notarized_timestamp.txt,ME-archive-0001,20251030,sha256:notarized_timestamp_hash,1024,Ops,verified,"Notarized timestamp statement and verifier signature placeholder"
ART-0023,copyright_receipt.pdf,ME-archive-0001,20251030,sha256:copyright_receipt_hash,5120,Legal,verified,"Copyright receipt manuscript"
ART-0024,Signed_IP_Assignments/,ME-archive-0001,20251030,sha256:signed_ip_assignments_hash,204800,Legal,pending,"Folder for collected signed assignments; populate before escrow release"
ART-0025,security_audit_summary.pdf,ME-archive-0001,20251030,sha256:security_audit_hash,10240,Security,verified,"High-level security audit summary and recommendations"
ART-0026,pen_test_summary.pdf,ME-archive-0001,20251030,sha256:pen_test_hash,10240,Security,verified,"Penetration test results and remediations"
ART-0027,repo_hardening_checklist.md,ME-archive-0001,20251030,sha256:repo_hardening_hash,3072,Security,verified,"Hardening checklist and action items"
ART-0028,sandbox_isolation_diagram.png,ME-archive-0001,20251030,sha256:sandbox_diagram_hash,45678,Engineering,verified,"Sandbox isolation diagram (vector/PNG)"
ART-0029,prompt_hashes_manifest.json,ME-archive-0001,20251030,sha256:prompthashes_manifest_hash_placeholder,2048,Ops,verified,"Catalog of canonical prompt hashes included in manifest"
ART-0030,perception_spec_and_prompts_bundle.tar.gz,ME-archive-0001,20251030,sha256:perception_bundle_hash,98765,ML,verified,"Perception prompts, examples, and test harness"
```
